"subject","item","target_response","sentence_type","seen_in_training","data_source","mask_added_tokens","stop_at","response","log.RT","correct","voice","model_id","linear","mean_cossim_to_targets","f.score.pre.training","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n","RT"
"294","91","Object target","perfect transitive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,0.5,0.5,-0.5,0.5,0.5,NA
"294","92","Object target","raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,0.5,0.5,-0.5,0.5,0.5,NA
"294","93","Object target","cleft subject perfect transitive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,0.5,0.5,-0.5,0.5,0.5,NA
"294","94","Object target","neg perfect transitive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,0.5,0.5,-0.5,0.5,0.5,NA
"294","95","Object target","cleft subject raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,0.5,0.5,-0.5,0.5,0.5,NA
"294","96","Object target","perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,0.5,0.5,-0.5,-0.5,0.5,NA
"294","97","Object target","raising perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,0.5,0.5,-0.5,-0.5,0.5,NA
"294","98","Object target","cleft subject perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,0.5,0.5,-0.5,-0.5,0.5,NA
"294","99","Object target","neg perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,0.5,0.5,-0.5,-0.5,0.5,NA
"294","100","Object target","cleft subject raising perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,0.5,0.5,-0.5,-0.5,0.5,NA
