"subject","item","target_response","adverb","seen_in_training","data_source","response","log.RT","correct","voice","mask_added_tokens","stop_at","linear","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n"
"1","61","Object target","typically","Seen","human","[obj]",7.78530518253986,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","84","Object target","usually","Seen","human","[obj]",7.68248244653451,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","110","Object target","usually","Unseen","human","[obj]",7.8995244720322,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","104","Object target","often","Unseen","human","[obj]",7.7698009960039,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","102","Object target","usually","Unseen","human","[obj]",7.74283595543075,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","53","Subject target","usually","Unseen","human","[subj]",7.62803112693033,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","65","Object target","typically","Seen","human","[obj]",7.62413058566129,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","77","Object target","often","Seen","human","[obj]",7.73892375743946,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","73","Object target","often","Seen","human","[obj]",7.77443551030296,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","50","Subject target","often","Unseen","human","[subj]",8.38571682862785,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","69","Object target","typically","Seen","human","[obj]",7.5999019592085,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","115","Object target","usually","Unseen","human","[obj]",7.67971363996637,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","32","Subject target","always","Seen","human","[subj]",7.71244383427499,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","99","Object target","often","Seen","human","[obj]",7.83597458172157,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","45","Subject target","always","Unseen","human","[subj]",8.27435700675629,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","49","Subject target","always","Unseen","human","[subj]",7.84031298332016,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","47","Subject target","typically","Unseen","human","[subj]",8.81655676864186,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","105","Object target","typically","Unseen","human","[obj]",7.77737360265786,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","18","Subject target","always","Seen","human","[subj]",7.69984240739699,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","56","Subject target","typically","Unseen","human","[subj]",7.88720858581393,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","58","Subject target","always","Unseen","human","[subj]",8.16593213732158,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","15","Subject target","often","Seen","human","[subj]",7.54802896993501,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","51","Subject target","often","Unseen","human","[subj]",7.74413662762799,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","42","Subject target","often","Unseen","human","[subj]",7.94236223767433,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,0.5,0.5
"1","39","Subject target","usually","Seen","human","[subj]",7.92479591395644,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","97","Object target","usually","Seen","human","[obj]",7.755767170103,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","81","Object target","always","Seen","human","[obj]",7.76556908109732,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","5","Subject target","always","Seen","human","[subj]",7.74240202181578,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","7","Subject target","typically","Seen","human","[subj]",7.77863014732581,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","31","Subject target","usually","Seen","human","[subj]",7.78613643778307,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","19","Subject target","often","Seen","human","[subj]",7.78696700261487,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","9","Subject target","always","Seen","human","[subj]",8.22603842948548,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
